Date, Average Price
2-Jul-15, 125.00 
9-Jul-15, 125.00 
16-Jul-15, 125.00 
23-Jul-15, 125.00 
30-Jul-15, 125.00 
6-Aug-15, 125.00 
13-Aug-15, 125.00 
20-Aug-15, 125.00 
27-Aug-15, 125.00 
3-Sep-15, 125.00 
10-Sep-15, 125.00 
17-Sep-15, 125.00 
24-Sep-15, 125.00 
1-Oct-15, 125.00 
8-Oct-15, 125.00 
15-Oct-15, 125.00 
22-Oct-15, 125.00 
29-Oct-15, 125.00 
5-Nov-15, 125.00 
12-Nov-15, 125.00 
19-Nov-15, 125.00 
26-Nov-15, 125.00 
3-Dec-15, 125.00 
10-Dec-15, 125.00 
17-Dec-15, 125.00 
24-Dec-15, 125.00 
7-Jan-16, 125.00 
14-Jan-16, 125.00 
21-Jan-16, 125.00 
28-Jan-16, 110.00 
4-Feb-16, 110.00 
11-Feb-16, 110.00 
18-Feb-16, 110.00 
25-Feb-16, 110.00 
3-Mar-16, 110.00 
10-Mar-16, 110.00 
17-Mar-16, 110.00 
24-Mar-16, 110.00 
31-Mar-16, 110.00 
7-Apr-16, 110.00 
14-Apr-16, 110.00 
21-Apr-16, 110.00 
28-Apr-16, 110.00 
5-May-16, 110.00 
12-May-16, 110.00 
19-May-16, 110.00 
26-May-16, 110.00 
2-Jun-16, 110.00 
9-Jun-16, 110.00 
16-Jun-16, 110.00 
23-Jun-16, 110.00 
30-Jun-16, 110.00 
7-Jul-16, 110.00 
14-Jul-16, 110.00 
21-Jul-16, 110.00 
28-Jul-16, 110.00 
4-Aug-16, 110.00 
11-Aug-16, 110.00 
18-Aug-16, 110.00 
25-Aug-16, 110.00 
1-Sep-16, 110.00 
8-Sep-16, 110.00 
15-Sep-16, 110.00 
22-Sep-16, 110.00 
29-Sep-16, 110.00 
6-Oct-16, 110.00 
13-Oct-16, 110.00 
20-Oct-16, 110.00 
27-Oct-16, 110.00 
3-Nov-16, 110.00 
10-Nov-16, 100.00 
17-Nov-16, 100.00 
24-Nov-16, 100.00 
1-Dec-16, 100.00 
8-Dec-16, 100.00 
15-Dec-16, 100.00 
22-Dec-16, 100.00 
29-Dec-16, 100.00 
5-Jan-17, 100.00 
12-Jan-17, 100.00 
19-Jan-17, 100.00 
26-Jan-17, 100.00 
2-Feb-17, 100.00 
9-Feb-17, 100.00 
16-Feb-17, 100.00 
23-Feb-17, 100.00 
2-Mar-17, 100.00 
9-Mar-17, 100.00 
16-Mar-17, 100.00 
23-Mar-17, 100.00 
30-Mar-17, 100.00 
6-Apr-17, 97.50 
13-Apr-17, 97.50 
20-Apr-17, 97.50 
27-Apr-17, 97.50 
4-May-17, 97.50 
11-May-17, 97.50 
18-May-17, 97.50 
25-May-17, 97.50 
1-Jun-17, 97.50 
8-Jun-17, 97.50 
15-Jun-17, 97.50 
22-Jun-17, 97.50 
29-Jun-17, 97.50 
6-Jul-17, 97.50 
13-Jul-17, 97.50 
20-Jul-17, 97.50 
27-Jul-17, 82.50 
3-Aug-17, 82.50 
10-Aug-17, 82.50 
17-Aug-17, 82.50 
24-Aug-17, 82.50 
31-Aug-17, 82.50 
7-Sep-17, 82.50 
14-Sep-17, 82.50 
21-Sep-17, 82.50 
28-Sep-17, 82.50 
5-Oct-17, 82.50 
12-Oct-17, 82.50 
19-Oct-17, 82.50 
26-Oct-17, 82.50 
2-Nov-17, 82.50 
9-Nov-17, 82.50 
16-Nov-17, 82.50 
23-Nov-17, 82.50 
30-Nov-17, 82.50 
7-Dec-17, 82.50 
14-Dec-17, 82.50 
21-Dec-17, 82.50 
28-Dec-17, 82.50 
4-Jan-18, 82.50 
11-Jan-18, 82.50 
18-Jan-18, 82.50 
25-Jan-18, 82.50 
1-Feb-18, 82.50 
8-Feb-18, 82.50 
15-Feb-18, 82.50 
22-Feb-18, 82.50 
1-Mar-18, 82.50 
8-Mar-18, 82.50 
15-Mar-18, 82.50 
22-Mar-18, 82.50 
29-Mar-18, 82.50 
5-Apr-18, 82.50 
12-Apr-18, 82.50 
19-Apr-18, 82.50 
26-Apr-18, 82.50 
3-May-18, 82.50 
10-May-18, 82.50 
17-May-18, 82.50 
24-May-18, 82.50 
31-May-18, 82.50 
7-Jun-18, 82.50 
14-Jun-18, 82.50 
21-Jun-18, 82.50 
28-Jun-18, 82.50 
5-Jul-18, 82.50 
12-Jul-18, 82.50 
19-Jul-18, 82.50 
26-Jul-18, 82.50 
2-Aug-18, 82.50 
9-Aug-18, 82.50 
16-Aug-18, 82.50 
23-Aug-18, 82.50 
30-Aug-18, 87.50 
6-Sep-18, 87.50 
13-Sep-18, 87.50 
20-Sep-18, 87.50 
27-Sep-18, 87.50 
4-Oct-18, 87.50 
11-Oct-18, 87.50 
18-Oct-18, 87.50 
25-Oct-18, 87.50 
